カテゴリ,施設名,住所,緯度,経度,リンク
"幼稚園","国分寺幼稚園","
〒315-0013 茨城県石岡市府中５丁目１−１９","36.1963383","140.2726911","https://www.google.com/maps/place/%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602216b6c2c23015:0x3f014487a17033f7!8m2!3d36.1963383!4d140.2726911!16s%2Fg%2F1tf15_51!19sChIJFTDCwrYWImAR9zNwoYdEAT8?authuser=0&hl=ja&rclk=1"
"幼稚園","聖母幼稚園","
〒310-0063 茨城県水戸市五軒町２丁目４−３２","36.3817059","140.4629165","https://www.google.com/maps/place/%E8%81%96%E6%AF%8D%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602224489595e899:0xc37e6081d5bda8b1!8m2!3d36.3817059!4d140.4629165!16s%2Fg%2F1pp2vfrkp!19sChIJmeiVlUgkImARsai91YFgfsM?authuser=0&hl=ja&rclk=1"
"幼稚園","いなほ幼稚園","
〒300-3267 茨城県つくば市前野１８６０−１","36.1434328","140.0688946","https://www.google.com/maps/place/%E3%81%84%E3%81%AA%E3%81%BB%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602208fb18a7eae7:0xafc278224a4726e8!8m2!3d36.1434328!4d140.0688946!16s%2Fg%2F1thqgv_c!19sChIJ5-qnGPsIImAR6CZHSiJ4wq8?authuser=0&hl=ja&rclk=1"
"幼稚園","おおくぼ認定こども園 大久保幼稚園","
〒316-0012 茨城県日立市大久保町４丁目１０−７","36.554419","140.618959","https://www.google.com/maps/place/%E3%81%8A%E3%81%8A%E3%81%8F%E3%81%BC%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92+%E5%A4%A7%E4%B9%85%E4%BF%9D%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602180950f244e6f:0xa6b7f0456853a252!8m2!3d36.554419!4d140.618959!16s%2Fg%2F1tdvk8t9!19sChIJb04kD5WAIWARUqJTaEXwt6Y?authuser=0&hl=ja&rclk=1"
"幼稚園","守谷わかば幼稚園","
〒302-0116 茨城県守谷市大柏８０５","35.9482073","139.970445","https://www.google.com/maps/place/%E5%AE%88%E8%B0%B7%E3%82%8F%E3%81%8B%E3%81%B0%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x15242a3080d5d985:0x399fbfccbd82d993!8m2!3d35.9482073!4d139.970445!16s%2Fg%2F11b66gtjtt!19sChIJhdnVgDAqJBURk9mCvcy_nzk?authuser=0&hl=ja&rclk=1"
"幼稚園","龍ヶ崎文化幼稚園","
〒301-0005 茨城県龍ケ崎市川原代町５４３−３","35.9184757","140.1429482","https://www.google.com/maps/place/%E9%BE%8D%E3%83%B6%E5%B4%8E%E6%96%87%E5%8C%96%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x6022707d4e55f05f:0x9f4e0920b06766a7!8m2!3d35.9184757!4d140.1429482!16s%2Fg%2F1tff7qq8!19sChIJX_BVTn1wImARp2ZnsCAJTp8?authuser=0&hl=ja&rclk=1"
"幼稚園","常磐大学 幼稚園","
〒310-0911 茨城県水戸市見和１丁目４２５","36.381751","140.441237","https://www.google.com/maps/place/%E5%B8%B8%E7%A3%90%E5%A4%A7%E5%AD%A6+%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60222411e27791c1:0xef82c0e324694e4!8m2!3d36.381751!4d140.441237!16s%2Fg%2F1vknph90!19sChIJwZF34hEkImAR5JRGMg4s-A4?authuser=0&hl=ja&rclk=1"
"幼稚園","ふたば幼稚園","
〒300-0331 茨城県稲敷郡阿見町岡崎３丁目２−１","36.0409036","140.2182251","https://www.google.com/maps/place/%E3%81%B5%E3%81%9F%E3%81%B0%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60226dae1ece9029:0xa730d1b60270e454!8m2!3d36.0409036!4d140.2182251!16s%2Fg%2F1wv_sb2r!19sChIJKZDOHq5tImARVORwArbRMKc?authuser=0&hl=ja&rclk=1"
"幼稚園","府中幼稚園","
〒315-0012 茨城県石岡市北府中１丁目１２−２０","36.2085845","140.2771764","https://www.google.com/maps/place/%E5%BA%9C%E4%B8%AD%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602216c57515e20b:0xf3745d581f051016!8m2!3d36.2085845!4d140.2771764!16s%2Fg%2F1tfb6p09!19sChIJC-IVdcUWImARFhAFH1hddPM?authuser=0&hl=ja&rclk=1"
"幼稚園","大塚ひのまる幼稚園","
〒311-4143 茨城県水戸市大塚町１５８３ 認定こども園 大塚ひのまる幼稚園","36.38686","140.395477","https://www.google.com/maps/place/%E5%A4%A7%E5%A1%9A%E3%81%B2%E3%81%AE%E3%81%BE%E3%82%8B%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60222170b908c4fb:0xdc4193f9ba7e0ab9!8m2!3d36.38686!4d140.395477!16s%2Fg%2F1tjl605g!19sChIJ-8QIuXAhImARuQp-uvmTQdw?authuser=0&hl=ja&rclk=1"
"幼稚園","中央幼稚園","
〒300-0011 茨城県土浦市神立中央２丁目１−１８","36.121385","140.2447949","https://www.google.com/maps/place/%E4%B8%AD%E5%A4%AE%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x6022131334147b3d:0x945dd01081bc19c5!8m2!3d36.121385!4d140.2447949!16s%2Fg%2F1tg_x633!19sChIJPXsUNBMTImARxRm8gRDQXZQ?authuser=0&hl=ja&rclk=1"
"幼稚園","栄光幼稚園","
〒312-0016 茨城県ひたちなか市松戸町１丁目１６−１０","36.39179","140.54595","https://www.google.com/maps/place/%E6%A0%84%E5%85%89%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60222fafbd803ea5:0x19b2e0ea9805ce86!8m2!3d36.39179!4d140.54595!16s%2Fg%2F1v_snbls!19sChIJpT6Ava8vImARhs4FmOrgshk?authuser=0&hl=ja&rclk=1"
"幼稚園","ばらき台幼稚園","
〒315-0042 茨城県石岡市茨城３丁目４−１３","36.1775762","140.2858166","https://www.google.com/maps/place/%E3%81%B0%E3%82%89%E3%81%8D%E5%8F%B0%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x6022141803de4eb3:0xd42fec17f27a1bd1!8m2!3d36.1775762!4d140.2858166!16s%2Fg%2F1tscp38r!19sChIJs07eAxgUImAR0Rt68hfsL9Q?authuser=0&hl=ja&rclk=1"
