カテゴリ,施設名,住所,緯度,経度,リンク
"こども園","浦佐認定こども園","
〒949-7302 新潟県南魚沼市浦佐５２７８−９","37.1682029","138.931394","https://www.google.com/maps/place/%E6%B5%A6%E4%BD%90%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff5926583c4fa47:0x3794868fb0674c21!8m2!3d37.1682029!4d138.931394!16s%2Fg%2F1tlz_0b4!19sChIJR_rEg2WS9V8RIUxnsI-GlDc?authuser=0&hl=ja&rclk=1"
"こども園","ノートルダム幼稚園･保育園","
〒950-2064 新潟県新潟市西区寺尾西３丁目２６−５０","37.8759698","138.9619691","https://www.google.com/maps/place/%E3%83%8E%E3%83%BC%E3%83%88%E3%83%AB%E3%83%80%E3%83%A0%E5%B9%BC%E7%A8%9A%E5%9C%92%EF%BD%A5%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x5ff4c7b92a039d41:0x332f034de5b9b4b0!8m2!3d37.8759698!4d138.9619691!16s%2Fg%2F1tgh2tsj!19sChIJQZ0DKrnH9F8RsLS55U0DLzM?authuser=0&hl=ja&rclk=1"
"こども園","有明こども園","
〒950-2071 新潟県新潟市西区西有明町１−７６","37.897023","138.9910873","https://www.google.com/maps/place/%E6%9C%89%E6%98%8E%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c813f050265b:0x2f3281521bbe60fc!8m2!3d37.897023!4d138.9910873!16s%2Fg%2F1tk22s9r!19sChIJWyZQ8BPI9F8R_GC-G1KBMi8?authuser=0&hl=ja&rclk=1"
"こども園","本興寺こども園","
〒950-0105 新潟県新潟市江南区大渕１８４６−３","37.8986335","139.1405047","https://www.google.com/maps/place/%E6%9C%AC%E8%88%88%E5%AF%BA%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cc0adc02304f:0x25aba2c351cef152!8m2!3d37.8986335!4d139.1405047!16s%2Fg%2F1vk6z1q3!19sChIJTzAC3ArM9F8RUvHOUcOiqyU?authuser=0&hl=ja&rclk=1"
"こども園","にこにここども園","
〒956-0017 新潟県新潟市秋葉区あおば通２丁目２４−５","37.8370523","139.1036167","https://www.google.com/maps/place/%E3%81%AB%E3%81%93%E3%81%AB%E3%81%93%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cf9700e1f705:0x6f3bacd65f563b10!8m2!3d37.8370523!4d139.1036167!16s%2Fg%2F1tdxf3g3!19sChIJBffhAJfP9F8REDtWX9asO28?authuser=0&hl=ja&rclk=1"
"こども園","栄光こども園","
〒950-0852 新潟県新潟市東区石山１丁目３−８０ 恵愛学園栄光こども園","37.8967517","139.0906636","https://www.google.com/maps/place/%E6%A0%84%E5%85%89%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c942faab4031:0xffeaefab27fb6037!8m2!3d37.8967517!4d139.0906636!16s%2Fg%2F1tdp097f!19sChIJMUCr-kLJ9F8RN2D7J6vv6v8?authuser=0&hl=ja&rclk=1"
"こども園","あいりすこども園","
〒950-2023 新潟県新潟市西区小新５丁目８−２８","37.8799372","139.0022674","https://www.google.com/maps/place/%E3%81%82%E3%81%84%E3%82%8A%E3%81%99%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c87e22ba022d:0x52fd6c3e4bb267e5!8m2!3d37.8799372!4d139.0022674!16s%2Fg%2F11cmrw1dtb!19sChIJLQK6In7I9F8R5WeySz5s_VI?authuser=0&hl=ja&rclk=1"
"こども園","ふなえこども園","
〒950-0031 新潟県新潟市東区船江町１丁目５０−３３","37.9535758","139.0954492","https://www.google.com/maps/place/%E3%81%B5%E3%81%AA%E3%81%88%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4ca82e5bfbda1:0xcb3750f0db337254!8m2!3d37.9535758!4d139.0954492!16s%2Fg%2F1tjdwrh8!19sChIJob2_5YLK9F8RVHIz2_BQN8s?authuser=0&hl=ja&rclk=1"
"こども園","四つ葉こども園","
〒950-0121 新潟県新潟市江南区亀田向陽２丁目１１−２７","37.8789708","139.1119145","https://www.google.com/maps/place/%E5%9B%9B%E3%81%A4%E8%91%89%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4ceb9c2c2a9c7:0xcc2b1ca1b8df3632!8m2!3d37.8789708!4d139.1119145!16s%2Fg%2F1tdmpx40!19sChIJx6nCwrnO9F8RMjbfuKEcK8w?authuser=0&hl=ja&rclk=1"
"こども園","みのりこどもえん","
〒950-0885 新潟県新潟市東区下木戸６００","37.9276676","139.089197","https://www.google.com/maps/place/%E3%81%BF%E3%81%AE%E3%82%8A%E3%81%93%E3%81%A9%E3%82%82%E3%81%88%E3%82%93/data=!4m7!3m6!1s0x5ff4cb31b865a51f:0x27d1761111b5d991!8m2!3d37.9276676!4d139.089197!16s%2Fg%2F11h3y64cv3!19sChIJH6VluDHL9F8Rkdm1ERF20Sc?authuser=0&hl=ja&rclk=1"
"こども園","逢谷内こども園","
〒950-0813 新潟県東区大形本町６丁目１４−１３","37.9195442","139.1209697","https://www.google.com/maps/place/%E9%80%A2%E8%B0%B7%E5%86%85%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cbb0bc2b6227:0xfdf4c5a29e17789e!8m2!3d37.9195442!4d139.1209697!16s%2Fg%2F11bwyxj_92!19sChIJJ2IrvLDL9F8RnngXnqLF9P0?authuser=0&hl=ja&rclk=1"
"こども園","みなとこども園","
〒950-0047 新潟県新潟市東区臨海町１−３２","37.9437646","139.0709487","https://www.google.com/maps/place/%E3%81%BF%E3%81%AA%E3%81%A8%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cb7b053d28cb:0x2b2d7cd9671a8d1c!8m2!3d37.9437646!4d139.0709487!16s%2Fg%2F11jfq9rlp7!19sChIJyyg9BXvL9F8RHI0aZ9l8LSs?authuser=0&hl=ja&rclk=1"
"こども園","みたけこども園","
〒950-0868 新潟県新潟市東区紫竹卸新町１８６９−１","37.9066264","139.0854251","https://www.google.com/maps/place/%E3%81%BF%E3%81%9F%E3%81%91%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c97e2da44283:0x5c6b37ea6ad538dd!8m2!3d37.9066264!4d139.0854251!16s%2Fg%2F1tfbn4v8!19sChIJg0KkLX7J9F8R3TjVauo3a1w?authuser=0&hl=ja&rclk=1"
